[2026-01-12 15:59:36,302: INFO: main]: Starting the CNN Classifier project setup...]
[2026-01-16 11:55:16,407: INFO: common]: YAML file: config\config.yaml loaded successfully]
[2026-01-16 11:55:16,416: INFO: common]: YAML file: params.yaml loaded successfully]
[2026-01-16 11:55:16,417: INFO: common]: Created directory at: artifacts]
[2026-01-16 11:55:16,418: INFO: common]: Created directory at: artifacts\data_ingestion]
[2026-01-16 15:16:58,247: INFO: common]: YAML file: config\config.yaml loaded successfully]
[2026-01-16 15:16:58,265: INFO: common]: YAML file: params.yaml loaded successfully]
[2026-01-16 15:16:58,268: INFO: common]: Created directory at: artifacts]
[2026-01-16 15:16:58,270: INFO: common]: Created directory at: artifacts\data_ingestion]
[2026-01-16 15:28:10,970: INFO: common]: YAML file: config\config.yaml loaded successfully]
[2026-01-16 15:28:10,970: INFO: common]: YAML file: params.yaml loaded successfully]
[2026-01-16 15:28:10,970: INFO: common]: Created directory at: artifacts]
[2026-01-16 15:28:10,978: INFO: common]: Created directory at: artifacts/data_ingestion]
[2026-01-16 15:28:10,981: INFO: 986331348]: Downloading data from https://drive.google.com/file/d/1BCttxlTewnR4zOjDgKJ_Y41F8K6kjaO1/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 15:38:10,696: INFO: 986331348]: Downloaded data from https://drive.google.com/file/d/1BCttxlTewnR4zOjDgKJ_Y41F8K6kjaO1/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 15:59:11,934: INFO: common]: YAML file: config\config.yaml loaded successfully]
[2026-01-16 15:59:11,934: INFO: common]: YAML file: params.yaml loaded successfully]
[2026-01-16 15:59:11,934: INFO: common]: Created directory at: artifacts]
[2026-01-16 15:59:11,934: INFO: common]: Created directory at: artifacts/data_ingestion]
[2026-01-16 15:59:11,934: INFO: 986331348]: Downloading data from https://drive.google.com/file/d/1ulYCGM7gzYzd7mKGX2_KgzaDnMfIOe5A/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 16:01:17,957: INFO: 986331348]: Downloaded data from https://drive.google.com/file/d/1ulYCGM7gzYzd7mKGX2_KgzaDnMfIOe5A/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 16:45:28,764: INFO: common]: YAML file: config\config.yaml loaded successfully]
[2026-01-16 16:45:28,764: INFO: common]: YAML file: params.yaml loaded successfully]
[2026-01-16 16:45:28,764: INFO: common]: Created directory at: artifacts]
[2026-01-16 16:45:28,764: INFO: common]: Created directory at: artifacts/data_ingestion]
[2026-01-16 16:45:28,764: INFO: data_ingestion]: Downloading data from https://drive.google.com/file/d/1ulYCGM7gzYzd7mKGX2_KgzaDnMfIOe5A/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 16:48:44,596: INFO: data_ingestion]: Downloaded data from https://drive.google.com/file/d/1ulYCGM7gzYzd7mKGX2_KgzaDnMfIOe5A/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 16:48:46,057: INFO: main]: >>>>>> Stage Data Ingestion Stage started <<<<<<]
[2026-01-16 16:48:46,059: INFO: common]: YAML file: config\config.yaml loaded successfully]
[2026-01-16 16:48:46,060: INFO: common]: YAML file: params.yaml loaded successfully]
[2026-01-16 16:48:46,061: INFO: common]: Created directory at: artifacts]
[2026-01-16 16:48:46,061: INFO: common]: Created directory at: artifacts/data_ingestion]
[2026-01-16 16:48:46,061: INFO: data_ingestion]: Downloading data from https://drive.google.com/file/d/1ulYCGM7gzYzd7mKGX2_KgzaDnMfIOe5A/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 16:51:02,498: INFO: data_ingestion]: Downloaded data from https://drive.google.com/file/d/1ulYCGM7gzYzd7mKGX2_KgzaDnMfIOe5A/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-01-16 16:51:03,567: INFO: main]: >>>>>> Stage Data Ingestion Stage completed <<<<<<

x==========x]
